Message,Category
"""बधाई हो! हमने सीरीज़ B फ़ंडिंग में $29 मिलियन जुटाए। अब आपके लिए नया Liner AI सर्च इंजन लेकर आए हैं। एक क्लिक में विश्वसनीय शैक्षिक सामग्री पाएं और डेटा विज़ुअलाइज़ेशन का लाभ उठाएं। अभी Liner प्राप्त करें!""",spam
"अंतिम मौका! संचार मास्टरक्लास पर 70% की छूट, सिर्फ ₹1999 में। 12 घंटे बाकी, THINK1000 कोड का उपयोग करें। 13+ घंटे का वीडियो कंटेंट, लाइव सेशंस और 100% मनी-बैक गारंटी। जल्दी करें!",spam
"फिटनेस पर 60% छूट! अपनी प्रीमियम मेंबरशिप अपग्रेड करें और बेहतरीन परिणाम देखें। डम्बल वेरिएशन चेस्ट वर्कआउट, स्क्वाट्स मास्टरी और अल्टीमेट लेग स्ट्रेंथ प्रोग्राम। अभी ट्राई करें!",spam
"Alibaba.com पर थोक में खरीदें। फैशन, प्लेड ड्रेस, स्पोर्ट्सवियर और अधिक। सबसे अच्छे दामों में 1 साल की गारंटी के साथ! अभी एक्सप्लोर करें और अपने बिजनेस के लिए सर्वश्रेष्ठ डील पाएं।",spam
अपने आप को सरकारी एजेंसीयों/रिज़र्व बैंक (RBI) के अधिकारी बताकर पैसे ट्रांसफ़र करने की मांग करने वाले साइबर अपराधियों के कॉल से सावधान रहें। 1930 पर कॉल करें या cybercrime.gov.in पर रिपोर्ट करें। -RBI,ham
ट्राई मोबाइल नंबरों के सत्यापन / डिस्कनेक्ट के लिए कभी भी संदेश या कॉल नहीं भेजता है। ऐसा मैसेज/कॉल संभावित धोखाधड़ी के हो सकते हैं और इसे दूरसंचार विभाग के चक्षु मॉड्यूल https://sancharsaathi.gov.in/sfc  के माध्यम से सूचित करें। धोखाधड़ी के किसी भी ऐसे दुर्भाग्यपूर्ण शिकार को 1930 या MoHA के cybercrime.gov.in पर रिपोर्ट करें,ham
Jio के साथ जुड़े रहें और Jio की विश्व स्तरीय सेवाओं का आनंद लेते रहें जो आज भी सबसे किफ़ायती है,ham
बेमिसाल तथा बेजोड़ सेवाओं के साथ भारत के एकमात्र सच्चे 5G नेटवर्क का अनुभव करें। मात्र Rs. 349 प्रति महीने से शुरू होकर असीमित 5G डेटा का आनंद लें। साथ ही अन्य ऑपरेटरों की तुलना में हर महीने 20% तक की बचत करें,ham
"केन्द्र सरकार/पी.एस.यू /बैंक इत्यादि के अधिकारियों/कर्मचारियों द्वारा रिश्वत-की मांग करने पर उनके विरुद्ध शिकायत दर्ज करने हेतु सी.बी.आई./ए.सी.बी., रांची के दूरभाष नं. 9470590422 पर संपर्क करें। - CBI Ranchi",ham
"प्रिय यात्री,
आप अपनी KQR यात्रा के दौरान ट्रेन की सीट पर खाना मंगवा सकते हैं IRCTC ई-केटरिंग से: https://ir-ctc.in/IRCTCR/6743311790 -IRCTC",ham
 Heroic Store - Heroic ब्रांड के सारे प्रोडक्ट्स पाएं! 📦📱 स्मार्टफोन के प्रभाव के बारे में जानें! कोयल पक्षी की तरह स्मार्टफोन आपके जीवन से क्या चुरा रहे हैं? जानने के लिए अगले +1 का इंतजार करें!,spam
"प्रिय गृहस्वामी, आपकी ब्याज दर ज्यादा है! अब 3.39% दर पर लॉक करें और हजारों रुपये बचाएं। कोई बाध्यता नहीं है!                      अभी क्लिक करें!",spam
